Applicant,PermitLocation,locationdesc,operation_time
Liang Bai Ping,931 PALOU AVE,10:30am-10:40am & Set-up at 991 Palou: 9:00am-9:05am,"{'Wednesday': ('10:00', '11:00'), 'Tuesday': ('10:00', '11:00'), 'Thursday': ('09:00', '10:00'), 'Friday': ('09:00', '10:00'), 'Monday': ('10:00', '11:00')}"
Liang Bai Ping,Assessors Block /Lot,Set-up at 900 Palou: 11:45am-11:50am,"{'Monday': ('11:00', '12:00'), 'Wednesday': ('05:00', '06:00'), 'Thursday': ('11:00', '12:00'), 'Friday': ('11:00', '12:00'), 'Tuesday': ('05:00', '06:00')}"
Liang Bai Ping,Assessors Block 3720/Lot001,Set-up @ 192 Fremont St: 5am-6am,"{'Monday': ('11:00', '12:00'), 'Wednesday': ('05:00', '06:00'), 'Thursday': ('11:00', '12:00'), 'Friday': ('11:00', '12:00'), 'Tuesday': ('05:00', '06:00')}"
Linda's Catering,1219 07TH AVE,Set-up at 1209 7th Avenue,"{'Sunday': ('09:00', '17:00'), 'Saturday': ('09:00', '17:00')}"
Linda's Catering,260 TOWNSEND ST,12:00pm-10:00pm,"{'Monday': ('12:00', '22:00'), 'Friday': ('12:00', '22:00'), 'Thursday': ('12:00', '22:00'), 'Wednesday': ('12:00', '22:00'), 'Tuesday': ('12:00', '22:00')}"
Linda's Catering,290 TOWNSEND ST,10:00am-3:00pm,"{'Friday': ('10:00', '15:00'), 'Monday': ('10:00', '15:00'), 'Wednesday': ('10:00', '15:00'), 'Thursday': ('10:00', '15:00'), 'Tuesday': ('10:00', '15:00')}"
Linda's Catering,501 02ND ST,10:30am-12:00pm,"{'Tuesday': ('10:00', '12:00'), 'Friday': ('10:00', '12:00'), 'Wednesday': ('10:00', '12:00'), 'Thursday': ('10:00', '12:00'), 'Monday': ('10:00', '12:00')}"
Linda's Catering,501 BEALE ST,9:30am-10:30am,"{'Monday': ('09:00', '11:00'), 'Thursday': ('09:00', '11:00'), 'Saturday': ('09:00', '11:00'), 'Wednesday': ('09:00', '11:00'), 'Friday': ('09:00', '11:00'), 'Tuesday': ('09:00', '11:00')}"
Linda's Catering,617 BRYANT ST,"8:30am-9:00am, 10:50am-11:00am","{'Friday': ('10:00', '11:00'), 'Thursday': ('08:00', '09:00'), 'Monday': ('10:00', '11:00'), 'Tuesday': ('10:00', '11:00')}"
Linda's Catering,999 DIVISADERO ST,07:00am-07:00pm,"{'Wednesday': ('07:00', '19:00'), 'Friday': ('07:00', '19:00'), 'Saturday': ('07:00', '19:00'), 'Thursday': ('07:00', '19:00'), 'Tuesday': ('07:00', '19:00'), 'Monday': ('07:00', '19:00')}"
Los 2 Cuates,490 02ND ST,Mobile Food Truck located approximately 20 ft west of the intersection of 02nd St and Bryant St on the south side of 02nd St,"{'Tuesday': ('07:00', '20:00'), 'Thursday': ('07:00', '20:00'), 'Wednesday': ('07:00', '20:00')}"
M M Catering,100 BROADWAY,Set-up at 130 Broadway: 10:05am-10:20am,"{'Wednesday': ('10:00', '11:00'), 'Thursday': ('10:00', '11:00'), 'Tuesday': ('10:00', '11:00'), 'Monday': ('10:00', '11:00'), 'Friday': ('10:00', '11:00')}"
M M Catering,1095 INDIANA ST,6:20pm-6:30pm,"{'Tuesday': ('18:00', '19:00'), 'Monday': ('18:00', '19:00'), 'Wednesday': ('18:00', '19:00'), 'Thursday': ('18:00', '19:00'), 'Friday': ('18:00', '19:00')}"
M M Catering,1140 HARRISON ST,9:15pm-9:20pm,"{'Tuesday': ('21:00', '22:00'), 'Friday': ('21:00', '22:00'), 'Monday': ('21:00', '22:00'), 'Wednesday': ('21:00', '22:00'), 'Thursday': ('21:00', '22:00')}"
M M Catering,1200 MISSISSIPPI ST,"12:01am-5:00am & 3:30pm-5:15pm (M-F), 12:01am-5:00am & 2:30pm-5:30pm (Sat)","{'Tuesday': ('15:00', '18:00'), 'Thursday': ('15:00', '18:00'), 'Friday': ('00:00', '05:00'), 'Monday': ('15:00', '18:00'), 'Saturday': ('00:00', '05:00'), 'Wednesday': ('15:00', '18:00')}"
M M Catering,1499 ILLINOIS ST,Set-up at 1485 Illinois: 5:15pm-5:30pm,"{'Thursday': ('17:00', '18:00'), 'Tuesday': ('17:00', '18:00'), 'Monday': ('17:00', '18:00'), 'Wednesday': ('17:00', '18:00'), 'Friday': ('17:00', '18:00')}"
M M Catering,20 HAIGHT ST,6:50pm-7:15pm,"{'Tuesday': ('18:00', '20:00'), 'Monday': ('18:00', '20:00'), 'Wednesday': ('18:00', '20:00'), 'Friday': ('18:00', '20:00'), 'Thursday': ('18:00', '20:00')}"
M M Catering,2700 03RD ST,6:00pm-6:10pm,"{'Tuesday': ('18:00', '19:00'), 'Monday': ('18:00', '19:00'), 'Wednesday': ('18:00', '19:00'), 'Thursday': ('18:00', '19:00'), 'Friday': ('18:00', '19:00')}"
M M Catering,400 ALABAMA ST,"9:30am-9:40am, 8:30pm-8:45pm","{'Wednesday': ('20:00', '21:00'), 'Tuesday': ('07:00', '08:00'), 'Thursday': ('09:00', '10:00'), 'Monday': ('20:00', '21:00'), 'Friday': ('09:00', '10:00')}"
M M Catering,45 SPEAR ST,"Set-up at 9 Spear St; 7:00am-7:30am, 12:00pm-1:00pm. Set-up at 25 Spear St; 9:30am-10:15am","{'Wednesday': ('09:00', '11:00'), 'Monday': ('07:00', '08:00'), 'Thursday': ('12:00', '13:00'), 'Tuesday': ('09:00', '11:00'), 'Friday': ('09:00', '11:00')}"
M M Catering,661 HOWARD ST,8:00pm-8:30pm,"{'Tuesday': ('20:00', '21:00'), 'Thursday': ('20:00', '21:00'), 'Friday': ('20:00', '21:00'), 'Wednesday': ('20:00', '21:00'), 'Monday': ('20:00', '21:00')}"
M M Catering,667 MISSION ST,8:00pm-8:30pm,"{'Tuesday': ('20:00', '21:00'), 'Thursday': ('20:00', '21:00'), 'Friday': ('20:00', '21:00'), 'Wednesday': ('20:00', '21:00'), 'Monday': ('20:00', '21:00')}"
M M Catering,98 MISSION ST,Set-up at 99 Spear St; 7:35am-8:40pm,"{'Tuesday': ('07:00', '09:00'), 'Friday': ('07:00', '09:00'), 'Thursday': ('07:00', '09:00'), 'Monday': ('07:00', '09:00'), 'Wednesday': ('07:00', '09:00')}"
M M Catering,Assessors Block 3930A/Lot002,Set-up at 2222 16th St: 7:30pm-7:40pm,"{'Monday': ('19:00', '20:00'), 'Wednesday': ('19:00', '20:00'), 'Tuesday': ('19:00', '20:00'), 'Thursday': ('19:00', '20:00'), 'Friday': ('19:00', '20:00')}"
Mang Hang Catering,1 THOMAS MORE WAY,"7:00am-7:10am, 10:00am-10:10am, 12:00pm-12:10pm","{'Wednesday': ('10:00', '11:00'), 'Monday': ('07:00', '08:00'), 'Tuesday': ('07:00', '08:00'), 'Thursday': ('12:00', '13:00'), 'Friday': ('10:00', '11:00')}"
Mang Hang Catering,1118 MISSION ST,12:00pm-12:10pm,"{'Wednesday': ('12:00', '13:00'), 'Monday': ('12:00', '13:00'), 'Tuesday': ('12:00', '13:00'), 'Friday': ('12:00', '13:00'), 'Thursday': ('12:00', '13:00')}"
Mang Hang Catering,1240 MINNESOTA ST,Set-up at 1220 Minnesota St: 1:40pm-1:55pm,"{'Monday': ('13:00', '14:00'), 'Tuesday': ('13:00', '14:00'), 'Wednesday': ('13:00', '14:00'), 'Friday': ('13:00', '14:00'), 'Thursday': ('13:00', '14:00')}"
Mang Hang Catering,1540 PINE ST,10:45am-10:55am,"{'Thursday': ('10:00', '11:00'), 'Friday': ('10:00', '11:00'), 'Tuesday': ('10:00', '11:00'), 'Monday': ('10:00', '11:00'), 'Wednesday': ('10:00', '11:00')}"
Mang Hang Catering,1570 BURKE AVE,2:35pm-3:00pm,"{'Monday': ('14:00', '15:00'), 'Thursday': ('14:00', '15:00'), 'Tuesday': ('14:00', '15:00'), 'Friday': ('14:00', '15:00'), 'Wednesday': ('14:00', '15:00')}"
Mang Hang Catering,1580 DAVIDSON AVE,Set-up at 1530 Davidson Ave: 2:00pm-2:10pm,"{'Monday': ('14:00', '15:00'), 'Thursday': ('14:00', '15:00'), 'Tuesday': ('14:00', '15:00'), 'Friday': ('14:00', '15:00'), 'Wednesday': ('14:00', '15:00')}"
Mang Hang Catering,1652 EDDY ST,Set-up at 1650 Eddy St: 11:00am-11:15am,"{'Wednesday': ('11:00', '12:00'), 'Thursday': ('11:00', '12:00'), 'Tuesday': ('11:00', '12:00'), 'Friday': ('11:00', '12:00'), 'Monday': ('11:00', '12:00')}"
Mang Hang Catering,2401 22ND ST,Set-up at 2450 22nd St: 10:00am-10:20am,"{'Wednesday': ('10:00', '11:00'), 'Thursday': ('10:00', '11:00'), 'Tuesday': ('10:00', '11:00'), 'Monday': ('10:00', '11:00'), 'Friday': ('10:00', '11:00')}"
Mang Hang Catering,3300 CESAR CHAVEZ ST,"8:05am-8:20am, 11:30am-11:40am","{'Wednesday': ('11:00', '12:00'), 'Friday': ('11:00', '12:00'), 'Thursday': ('08:00', '09:00'), 'Tuesday': ('11:00', '12:00'), 'Monday': ('11:00', '12:00')}"
Mang Hang Catering,432 CLAY ST,"Set-up at 400 Clay St: 7:00am-7:10am, 10:00am-10:10am, 12:00pm-12:10pm","{'Wednesday': ('10:00', '11:00'), 'Monday': ('10:00', '11:00'), 'Thursday': ('12:00', '13:00'), 'Tuesday': ('07:00', '08:00'), 'Friday': ('10:00', '11:00')}"
Mang Hang Catering,500 MASONIC AVE,"6:55am-7:00am, 11:55am-12:00pm","{'Thursday': ('11:00', '12:00'), 'Wednesday': ('06:00', '07:00'), 'Friday': ('11:00', '12:00'), 'Monday': ('11:00', '12:00'), 'Tuesday': ('11:00', '12:00')}"
Mang Hang Catering,501 HOWARD ST,6:50am-7:00am,"{'Thursday': ('06:00', '07:00'), 'Friday': ('06:00', '07:00'), 'Monday': ('06:00', '07:00'), 'Wednesday': ('06:00', '07:00'), 'Tuesday': ('06:00', '07:00')}"
Mang Hang Catering,544 02ND ST,"Set-up at 550 2nd St: 7:00am-7:05am, 10:00am-10:05am, 11:55am-12:00pm","{'Wednesday': ('11:00', '12:00'), 'Thursday': ('11:00', '12:00'), 'Friday': ('10:00', '11:00'), 'Tuesday': ('07:00', '08:00'), 'Monday': ('11:00', '12:00')}"
Mang Hang Catering,599 MASONIC AVE,9:30am-9:45am,"{'Wednesday': ('09:00', '10:00'), 'Tuesday': ('09:00', '10:00'), 'Monday': ('09:00', '10:00'), 'Thursday': ('09:00', '10:00'), 'Friday': ('09:00', '10:00')}"
Mang Hang Catering,690 MISSION ST,"7:10am-7:15am, 10:05am-10:15am, 12:00pm-12:05pm","{'Wednesday': ('10:00', '11:00'), 'Monday': ('07:00', '08:00'), 'Thursday': ('12:00', '13:00'), 'Tuesday': ('07:00', '08:00'), 'Friday': ('10:00', '11:00')}"
Mang Hang Catering,730 ELLIS ST,10:30am-10:40am,"{'Wednesday': ('10:00', '11:00'), 'Thursday': ('10:00', '11:00'), 'Tuesday': ('10:00', '11:00'), 'Monday': ('10:00', '11:00'), 'Friday': ('10:00', '11:00')}"
Mang Hang Catering,740 VALENCIA ST,11:00am-11:10am,"{'Wednesday': ('11:00', '12:00'), 'Thursday': ('11:00', '12:00'), 'Tuesday': ('11:00', '12:00'), 'Friday': ('11:00', '12:00'), 'Monday': ('11:00', '12:00')}"
Mang Hang Catering,85 02ND ST,"Set-up at 580 Mission St: 7:00am-7:05am, 10:00am-10:10am, 12:00pm-12:10pm","{'Wednesday': ('10:00', '11:00'), 'Monday': ('10:00', '11:00'), 'Tuesday': ('10:00', '11:00'), 'Thursday': ('12:00', '13:00'), 'Friday': ('10:00', '11:00')}"
Mang Hang Catering,Assessors Block 3902/Lot002,"Set-up at 50 Treat Ave: 7:00am-7:10am, 10:00am-10:10am, 12:00pm-12:10pm","{'Wednesday': ('10:00', '11:00'), 'Monday': ('10:00', '11:00'), 'Tuesday': ('10:00', '11:00'), 'Thursday': ('12:00', '13:00'), 'Friday': ('10:00', '11:00')}"
May Catering,100 POTRERO AVE,2:50pm-2:55pm,"{'Monday': ('14:00', '15:00'), 'Thursday': ('14:00', '15:00'), 'Tuesday': ('14:00', '15:00'), 'Friday': ('14:00', '15:00'), 'Wednesday': ('14:00', '15:00')}"
May Catering,1000 ILLINOIS ST,8:15am-8:20am,"{'Wednesday': ('08:00', '09:00'), 'Friday': ('08:00', '09:00'), 'Monday': ('08:00', '09:00'), 'Tuesday': ('08:00', '09:00'), 'Thursday': ('08:00', '09:00')}"
May Catering,1006 16TH ST,"Set-up at 1000 16th St: 12:05pm-12:08pm, 1:40pm-1:50pm","{'Monday': ('12:00', '13:00'), 'Wednesday': ('13:00', '14:00'), 'Tuesday': ('12:00', '13:00'), 'Friday': ('12:00', '13:00'), 'Thursday': ('13:00', '14:00')}"
May Catering,1059 EVANS AVE,Set-up at 25 Middle Point: 10:04am-10:05am,"{'Wednesday': ('10:00', '11:00'), 'Thursday': ('10:00', '11:00'), 'Tuesday': ('10:00', '11:00'), 'Monday': ('10:00', '11:00'), 'Friday': ('10:00', '11:00')}"
May Catering,1075 LE CONTE AVE,10:03am-10:04am,"{'Wednesday': ('10:00', '11:00'), 'Thursday': ('10:00', '11:00'), 'Tuesday': ('10:00', '11:00'), 'Monday': ('10:00', '11:00'), 'Friday': ('10:00', '11:00')}"
May Catering,1098 LE CONTE AVE,"Set-up at 1100 Le Conte Ave: 9:35am-9:37am, 12:30pm-12:33pm","{'Wednesday': ('09:00', '10:00'), 'Tuesday': ('12:00', '13:00'), 'Monday': ('09:00', '10:00'), 'Friday': ('09:00', '10:00'), 'Thursday': ('09:00', '10:00')}"
May Catering,1200 POTRERO AVE,9:35am-9:40am,"{'Wednesday': ('09:00', '10:00'), 'Tuesday': ('09:00', '10:00'), 'Monday': ('09:00', '10:00'), 'Thursday': ('09:00', '10:00'), 'Friday': ('09:00', '10:00')}"
May Catering,1300 BRYANT ST,3:20pm-3:25pm,"{'Friday': ('15:00', '16:00'), 'Monday': ('15:00', '16:00'), 'Tuesday': ('15:00', '16:00'), 'Thursday': ('15:00', '16:00'), 'Wednesday': ('15:00', '16:00')}"
May Catering,1322 04TH ST,Set-up at 1301 4th St: 9:56am-9:57am & 1375 4th St: 9:57am-9:58am,"{'Wednesday': ('09:00', '10:00'), 'Tuesday': ('09:00', '10:00'), 'Monday': ('09:00', '10:00'), 'Thursday': ('09:00', '10:00'), 'Friday': ('09:00', '10:00')}"
May Catering,150 EXECUTIVE PARK BLVD,Set-up at 1100 Thomas Mellon Dr: 7:30pm-7:40pm,"{'Monday': ('19:00', '20:00'), 'Wednesday': ('19:00', '20:00'), 'Tuesday': ('19:00', '20:00'), 'Thursday': ('19:00', '20:00'), 'Friday': ('19:00', '20:00')}"
May Catering,1600 DONNER AVE,4:00pm-4:05pm,"{'Tuesday': ('16:00', '17:00'), 'Friday': ('16:00', '17:00'), 'Wednesday': ('16:00', '17:00'), 'Thursday': ('16:00', '17:00'), 'Monday': ('16:00', '17:00')}"
May Catering,166 WISCONSIN ST,2:25pm-2:30pm,"{'Monday': ('14:00', '15:00'), 'Thursday': ('14:00', '15:00'), 'Tuesday': ('14:00', '15:00'), 'Friday': ('14:00', '15:00'), 'Wednesday': ('14:00', '15:00')}"
May Catering,180 NAPOLEON ST,"Set-up at 180 Napoleon: 11:25am-11:30am, 2:15pm-2:20pm. Set-up at 190 Napoleon: 9:55am-10:00am (ALL M-F)","{'Monday': ('11:00', '12:00'), 'Wednesday': ('11:00', '12:00'), 'Tuesday': ('11:00', '12:00'), 'Thursday': ('09:00', '10:00'), 'Friday': ('09:00', '10:00')}"
May Catering,185 BERRY ST,6:30pm-6:45pm,"{'Tuesday': ('18:00', '19:00'), 'Monday': ('18:00', '19:00'), 'Wednesday': ('18:00', '19:00'), 'Thursday': ('18:00', '19:00'), 'Friday': ('18:00', '19:00')}"
May Catering,2 ULLOA ST,Set-up at 250 Woodside Ave: 9:58am-10:00am,"{'Wednesday': ('09:00', '10:00'), 'Tuesday': ('09:00', '10:00'), 'Saturday': ('09:00', '10:00'), 'Sunday': ('09:00', '10:00'), 'Monday': ('09:00', '10:00'), 'Thursday': ('09:00', '10:00'), 'Friday': ('09:00', '10:00')}"
May Catering,2000 FOLSOM ST,10:30am-10:35am,"{'Thursday': ('10:00', '11:00'), 'Friday': ('10:00', '11:00'), 'Tuesday': ('10:00', '11:00'), 'Monday': ('10:00', '11:00'), 'Wednesday': ('10:00', '11:00')}"
May Catering,2090 EVANS AVE,3:00pm-3:15pm,"{'Friday': ('15:00', '16:00'), 'Monday': ('15:00', '16:00'), 'Tuesday': ('15:00', '16:00'), 'Thursday': ('15:00', '16:00'), 'Wednesday': ('15:00', '16:00')}"
May Catering,210 29TH ST,9:33am-9:35am,"{'Wednesday': ('09:00', '10:00'), 'Tuesday': ('09:00', '10:00'), 'Monday': ('09:00', '10:00'), 'Thursday': ('09:00', '10:00'), 'Friday': ('09:00', '10:00')}"
May Catering,2130 HARRISON ST,10:00am-10:05am,"{'Wednesday': ('10:00', '11:00'), 'Thursday': ('10:00', '11:00'), 'Tuesday': ('10:00', '11:00'), 'Monday': ('10:00', '11:00'), 'Friday': ('10:00', '11:00')}"
May Catering,2150 HARRISON ST,12:00pm-12:05pm,"{'Wednesday': ('12:00', '13:00'), 'Monday': ('12:00', '13:00'), 'Tuesday': ('12:00', '13:00'), 'Friday': ('12:00', '13:00'), 'Thursday': ('12:00', '13:00')}"
May Catering,2270 JERROLD AVE,8:09am-8:15am,"{'Wednesday': ('08:00', '09:00'), 'Friday': ('08:00', '09:00'), 'Monday': ('08:00', '09:00'), 'Tuesday': ('08:00', '09:00'), 'Thursday': ('08:00', '09:00')}"
May Catering,2300 CESAR CHAVEZ ST,1:55pm-2:00pm,"{'Monday': ('13:00', '14:00'), 'Tuesday': ('13:00', '14:00'), 'Wednesday': ('13:00', '14:00'), 'Friday': ('13:00', '14:00'), 'Thursday': ('13:00', '14:00')}"
May Catering,2301 HARRISON ST,11:55am-12:00pm,"{'Wednesday': ('11:00', '12:00'), 'Thursday': ('11:00', '12:00'), 'Tuesday': ('11:00', '12:00'), 'Friday': ('11:00', '12:00'), 'Monday': ('11:00', '12:00')}"
May Catering,2400 CESAR CHAVEZ ST,Set-up at 2340 Cesar Chavez: 6:30am-6:50am,"{'Thursday': ('06:00', '07:00'), 'Friday': ('06:00', '07:00'), 'Monday': ('06:00', '07:00'), 'Wednesday': ('06:00', '07:00'), 'Tuesday': ('06:00', '07:00')}"
May Catering,2500 16TH ST,Set-up at 2301 16th St: 12:15pm-12:20pm,"{'Wednesday': ('12:00', '13:00'), 'Monday': ('12:00', '13:00'), 'Tuesday': ('12:00', '13:00'), 'Friday': ('12:00', '13:00'), 'Thursday': ('12:00', '13:00')}"
May Catering,2501 CESAR CHAVEZ ST,"Set-up at 1600 Kansas St: 9:55am-9:58am, 12:00pm-12:03pm","{'Wednesday': ('09:00', '10:00'), 'Tuesday': ('12:00', '13:00'), 'Monday': ('09:00', '10:00'), 'Friday': ('09:00', '10:00'), 'Thursday': ('09:00', '10:00')}"
May Catering,2525 MARIN ST,7:30am-7:55am,"{'Wednesday': ('07:00', '08:00'), 'Thursday': ('07:00', '08:00'), 'Friday': ('07:00', '08:00'), 'Monday': ('07:00', '08:00'), 'Tuesday': ('07:00', '08:00')}"
May Catering,2565 03RD ST,Set-up at 1120 Illinois St: 11:00am-11:10am,"{'Wednesday': ('11:00', '12:00'), 'Thursday': ('11:00', '12:00'), 'Tuesday': ('11:00', '12:00'), 'Friday': ('11:00', '12:00'), 'Monday': ('11:00', '12:00')}"
May Catering,2800 03RD ST,11:50am-11:55am,"{'Wednesday': ('11:00', '12:00'), 'Thursday': ('11:00', '12:00'), 'Tuesday': ('11:00', '12:00'), 'Friday': ('11:00', '12:00'), 'Monday': ('11:00', '12:00')}"
May Catering,2930 HAWES ST,Set-up at 900 Jamestown Ave: 10:30am-11:00am,"{'Sunday': ('10:00', '11:00'), 'Thursday': ('10:00', '11:00'), 'Friday': ('10:00', '11:00'), 'Tuesday': ('10:00', '11:00'), 'Monday': ('10:00', '11:00'), 'Saturday': ('10:00', '11:00'), 'Wednesday': ('10:00', '11:00')}"
May Catering,3000 23RD ST,9:37am-9:40am,"{'Wednesday': ('09:00', '10:00'), 'Tuesday': ('09:00', '10:00'), 'Monday': ('09:00', '10:00'), 'Thursday': ('09:00', '10:00'), 'Friday': ('09:00', '10:00')}"
May Catering,301 BERRY ST,Set-up at 950 4th St: 10:03am-10:05am,"{'Wednesday': ('10:00', '11:00'), 'Thursday': ('10:00', '11:00'), 'Tuesday': ('10:00', '11:00'), 'Monday': ('10:00', '11:00'), 'Friday': ('10:00', '11:00')}"
May Catering,3030 17TH ST,Set-up at 3000 17th St: 12:35pm-12:37pm,"{'Wednesday': ('12:00', '13:00'), 'Monday': ('12:00', '13:00'), 'Tuesday': ('12:00', '13:00'), 'Friday': ('12:00', '13:00'), 'Thursday': ('12:00', '13:00')}"
May Catering,3050 23RD ST,Set-up at 3000 23rd St: 12:33pm-12:35pm,"{'Wednesday': ('12:00', '13:00'), 'Monday': ('12:00', '13:00'), 'Tuesday': ('12:00', '13:00'), 'Friday': ('12:00', '13:00'), 'Thursday': ('12:00', '13:00')}"
May Catering,3150 26TH ST,9:45am-9:50am,"{'Wednesday': ('09:00', '10:00'), 'Tuesday': ('09:00', '10:00'), 'Monday': ('09:00', '10:00'), 'Thursday': ('09:00', '10:00'), 'Friday': ('09:00', '10:00')}"
May Catering,3251 26TH ST,Set-up at 1200 Shotwell St: 11:15am-11:20am,"{'Wednesday': ('11:00', '12:00'), 'Thursday': ('11:00', '12:00'), 'Tuesday': ('11:00', '12:00'), 'Friday': ('11:00', '12:00'), 'Monday': ('11:00', '12:00')}"
May Catering,350 MISSION ST,6:45pm-7:00pm,"{'Tuesday': ('18:00', '19:00'), 'Monday': ('18:00', '19:00'), 'Wednesday': ('18:00', '19:00'), 'Thursday': ('18:00', '19:00'), 'Friday': ('18:00', '19:00')}"
May Catering,380 ALABAMA ST,Set-up at 2900 17th St: 9:15am-9:25am,"{'Wednesday': ('09:00', '10:00'), 'Tuesday': ('09:00', '10:00'), 'Monday': ('09:00', '10:00'), 'Thursday': ('09:00', '10:00'), 'Friday': ('09:00', '10:00')}"
May Catering,500 16TH ST,10:10am-10:25am,"{'Wednesday': ('10:00', '11:00'), 'Thursday': ('10:00', '11:00'), 'Tuesday': ('10:00', '11:00'), 'Monday': ('10:00', '11:00'), 'Friday': ('10:00', '11:00')}"
May Catering,501 ALABAMA ST,10:37am-10:45am,"{'Wednesday': ('10:00', '11:00'), 'Thursday': ('10:00', '11:00'), 'Tuesday': ('10:00', '11:00'), 'Monday': ('10:00', '11:00'), 'Friday': ('10:00', '11:00')}"
May Catering,501 YORK ST,"Set-up at 500 York St: 10:05am-10:10am, 12:05pm-12:10pm, 2:05pm-2:10pm","{'Wednesday': ('14:00', '15:00'), 'Monday': ('10:00', '11:00'), 'Tuesday': ('14:00', '15:00'), 'Thursday': ('12:00', '13:00'), 'Friday': ('14:00', '15:00')}"
May Catering,535 MINNESOTA ST,12:33pm-12:35pm,"{'Wednesday': ('12:00', '13:00'), 'Monday': ('12:00', '13:00'), 'Tuesday': ('12:00', '13:00'), 'Friday': ('12:00', '13:00'), 'Thursday': ('12:00', '13:00')}"
May Catering,600 ILLINOIS ST,9:40am-9:45am,"{'Wednesday': ('09:00', '10:00'), 'Tuesday': ('09:00', '10:00'), 'Monday': ('09:00', '10:00'), 'Thursday': ('09:00', '10:00'), 'Friday': ('09:00', '10:00')}"
May Catering,600 TOLAND ST,Set-up at 672 Toland St: 7:00am-7:15am,"{'Wednesday': ('07:00', '08:00'), 'Thursday': ('07:00', '08:00'), 'Friday': ('07:00', '08:00'), 'Monday': ('07:00', '08:00'), 'Tuesday': ('07:00', '08:00')}"
May Catering,620 YORK ST,9:50am-9:55am,"{'Wednesday': ('09:00', '10:00'), 'Tuesday': ('09:00', '10:00'), 'Monday': ('09:00', '10:00'), 'Thursday': ('09:00', '10:00'), 'Friday': ('09:00', '10:00')}"
May Catering,630 TREAT AVE,"9:50am-9:55am, 11:55am-12:00pm","{'Wednesday': ('11:00', '12:00'), 'Tuesday': ('11:00', '12:00'), 'Thursday': ('09:00', '10:00'), 'Friday': ('09:00', '10:00'), 'Monday': ('11:00', '12:00')}"
May Catering,720 YORK ST,Set-up at 750 York St: 10:25am-10:30am,"{'Thursday': ('10:00', '11:00'), 'Friday': ('10:00', '11:00'), 'Tuesday': ('10:00', '11:00'), 'Monday': ('10:00', '11:00'), 'Wednesday': ('10:00', '11:00')}"
May Catering,777 MARIPOSA ST,Set-up at 799 Mariposa St: 9:58am-9:59am,"{'Wednesday': ('09:00', '10:00'), 'Tuesday': ('09:00', '10:00'), 'Monday': ('09:00', '10:00'), 'Thursday': ('09:00', '10:00'), 'Friday': ('09:00', '10:00')}"
May Catering,800 JAMESTOWN AVE,9:30am-9:33am,"{'Wednesday': ('09:00', '10:00'), 'Tuesday': ('09:00', '10:00'), 'Saturday': ('09:00', '10:00'), 'Sunday': ('09:00', '10:00'), 'Monday': ('09:00', '10:00'), 'Thursday': ('09:00', '10:00'), 'Friday': ('09:00', '10:00')}"
May Catering,900 MINNESOTA ST,"8:35am-8:45am, 2:40pm-2:45pm","{'Monday': ('08:00', '09:00'), 'Wednesday': ('14:00', '15:00'), 'Friday': ('14:00', '15:00'), 'Thursday': ('08:00', '09:00'), 'Tuesday': ('14:00', '15:00')}"
May Catering,911 MINNA ST,8:00pm-8:15pm,"{'Tuesday': ('20:00', '21:00'), 'Thursday': ('20:00', '21:00'), 'Friday': ('20:00', '21:00'), 'Wednesday': ('20:00', '21:00'), 'Monday': ('20:00', '21:00')}"
May Catering,Assessors Block 3810/Lot008,Set-up at 255 Channel St: 1:20pm-1:25pm,"{'Monday': ('10:00', '11:00'), 'Wednesday': ('10:00', '11:00'), 'Tuesday': ('10:00', '11:00'), 'Friday': ('09:00', '10:00'), 'Thursday': ('09:00', '10:00')}"
May Catering,Assessors Block 4347a/Lot004,Set-up at 50 Napoleon St: 12:08pm-12:10pm,"{'Monday': ('10:00', '11:00'), 'Wednesday': ('10:00', '11:00'), 'Tuesday': ('10:00', '11:00'), 'Friday': ('09:00', '10:00'), 'Thursday': ('09:00', '10:00')}"
May Catering,Assessors Block 8710/Lot003,"Set-up at 1325 06th St: 10:00am-10:03am, 12:00pm-12:03pm, 1:00pm-1:05pm","{'Monday': ('10:00', '11:00'), 'Wednesday': ('10:00', '11:00'), 'Tuesday': ('10:00', '11:00'), 'Friday': ('09:00', '10:00'), 'Thursday': ('09:00', '10:00')}"
May Catering,Assessors Block 8711/Lot023,Set-up at 195 Channel St: 1:30pm-1:35pm,"{'Monday': ('10:00', '11:00'), 'Wednesday': ('10:00', '11:00'), 'Tuesday': ('10:00', '11:00'), 'Friday': ('09:00', '10:00'), 'Thursday': ('09:00', '10:00')}"
May Catering,Assessors Block 8727/Lot005,Set-up at 800 16th St: 9:55am-9:57am,"{'Monday': ('10:00', '11:00'), 'Wednesday': ('10:00', '11:00'), 'Tuesday': ('10:00', '11:00'), 'Friday': ('09:00', '10:00'), 'Thursday': ('13:00', '14:00')}"
Mike's Catering,1310 MINNESOTA ST,"10:30am-10:45am, 1:00pm-1:30pm","{'Monday': ('10:00', '11:00'), 'Tuesday': ('10:00', '11:00'), 'Wednesday': ('10:00', '11:00'), 'Friday': ('10:00', '11:00'), 'Thursday': ('13:00', '14:00')}"
Mike's Catering,1575 INDIANA ST,7:30am-8:30am,"{'Tuesday': ('07:00', '09:00'), 'Friday': ('07:00', '09:00'), 'Thursday': ('07:00', '09:00'), 'Monday': ('07:00', '09:00'), 'Wednesday': ('07:00', '09:00')}"
